,Origin,Date,mta_ridership,uber_ridership
453,Bushwick South,2016-10,1357555.0,7079.0
454,Bushwick South,2016-11,1270629.0,8277.0
455,Bushwick South,2016-12,1168656.0,9036.0
456,Bushwick South,2017-01,1200432.0,8847.0
457,Bushwick South,2017-02,1126566.0,7872.0
458,Bushwick South,2017-03,1403651.0,10288.0
459,Bushwick South,2017-04,1253950.0,9031.0
460,Bushwick South,2017-05,1439635.0,10484.0
461,Bushwick South,2017-06,1370882.0,10476.0
462,Bushwick South,2017-07,1186979.0,9686.0
463,Bushwick South,2017-08,1327587.0,11368.0
464,Bushwick South,2017-09,1302449.0,10535.0
465,Bushwick South,2017-10,1414759.0,11495.0
466,Bushwick South,2017-11,1255244.0,12526.0
467,Bushwick South,2017-12,1080226.0,11468.0
468,Canarsie,2015-01,202731.0,255.0
469,Canarsie,2015-02,200294.0,399.0
470,Canarsie,2015-03,246204.0,575.0
471,Canarsie,2015-04,236576.0,590.0
472,Canarsie,2015-05,230298.0,589.0
473,Canarsie,2015-06,232019.0,732.0
474,Canarsie,2015-07,225405.0,954.0
475,Canarsie,2015-08,199194.0,975.0
476,Canarsie,2015-09,231191.0,1288.0
477,Canarsie,2015-10,251543.0,1578.0
478,Canarsie,2015-11,213243.0,1497.0
479,Canarsie,2015-12,222595.0,1882.0
480,Canarsie,2016-01,202921.0,2090.0
481,Canarsie,2016-02,209730.0,2617.0
482,Canarsie,2016-03,248890.0,3693.0
483,Canarsie,2016-04,225482.0,3601.0
484,Canarsie,2016-05,234867.0,3934.0
485,Canarsie,2016-06,233327.0,3876.0
486,Canarsie,2016-07,199848.0,3652.0
487,Canarsie,2016-08,218482.0,4411.0
488,Canarsie,2016-09,234577.0,4910.0
489,Canarsie,2016-10,228309.0,5725.0
490,Canarsie,2016-11,224065.0,7444.0
491,Canarsie,2016-12,208887.0,9447.0
492,Canarsie,2017-01,210968.0,8244.0
493,Canarsie,2017-02,186067.0,8276.0
494,Canarsie,2017-03,238105.0,10987.0
495,Canarsie,2017-04,205961.0,9469.0
496,Canarsie,2017-05,241949.0,11570.0
497,Canarsie,2017-06,224978.0,12000.0
498,Canarsie,2017-07,194284.0,11036.0
499,Canarsie,2017-08,215577.0,13428.0
500,Canarsie,2017-09,210784.0,13416.0
501,Canarsie,2017-10,240433.0,15752.0
502,Canarsie,2017-11,220485.0,17405.0
503,Canarsie,2017-12,193698.0,16688.0
504,Central Harlem,2015-01,693833.0,1257.0
505,Central Harlem,2015-02,695938.0,1568.0
506,Central Harlem,2015-03,875396.0,1686.0
507,Central Harlem,2015-04,857523.0,1909.0
508,Central Harlem,2015-05,844045.0,2041.0
509,Central Harlem,2015-06,867525.0,2308.0
510,Central Harlem,2015-07,843722.0,2686.0
511,Central Harlem,2015-08,733780.0,2663.0
512,Central Harlem,2015-09,819598.0,3336.0
513,Central Harlem,2015-10,923294.0,3759.0
514,Central Harlem,2015-11,729995.0,3316.0
515,Central Harlem,2015-12,766213.0,3657.0
516,Central Harlem,2016-01,712381.0,3932.0
517,Central Harlem,2016-02,736569.0,4394.0
518,Central Harlem,2016-03,895379.0,4403.0
519,Central Harlem,2016-04,850400.0,4338.0
520,Central Harlem,2016-05,873835.0,4237.0
521,Central Harlem,2016-06,884030.0,4635.0
522,Central Harlem,2016-07,735754.0,4839.0
523,Central Harlem,2016-08,803837.0,5595.0
524,Central Harlem,2016-09,861704.0,5656.0
525,Central Harlem,2016-10,844200.0,5372.0
526,Central Harlem,2016-11,785951.0,5746.0
527,Central Harlem,2016-12,736769.0,5911.0
528,Central Harlem,2017-01,743343.0,6577.0
529,Central Harlem,2017-02,676037.0,5934.0
530,Central Harlem,2017-03,868650.0,7059.0
531,Central Harlem,2017-04,765744.0,6570.0
532,Central Harlem,2017-05,900372.0,7438.0
533,Central Harlem,2017-06,833832.0,7097.0
534,Central Harlem,2017-07,713826.0,6487.0
535,Central Harlem,2017-08,792861.0,7289.0
536,Central Harlem,2017-09,804484.0,6867.0
537,Central Harlem,2017-10,880350.0,7963.0
538,Central Harlem,2017-11,761424.0,8441.0
539,Central Harlem,2017-12,656087.0,8017.0
540,Central Harlem North,2015-01,1028664.0,1431.0
541,Central Harlem North,2015-02,1026433.0,1750.0
542,Central Harlem North,2015-03,1294642.0,2004.0
543,Central Harlem North,2015-04,1269171.0,2160.0
544,Central Harlem North,2015-05,1222437.0,2369.0
545,Central Harlem North,2015-06,1278440.0,2446.0
546,Central Harlem North,2015-07,1242822.0,2731.0
547,Central Harlem North,2015-08,1093521.0,2849.0
548,Central Harlem North,2015-09,1233199.0,3389.0
549,Central Harlem North,2015-10,1360571.0,3785.0
550,Central Harlem North,2015-11,1090522.0,3504.0
551,Central Harlem North,2015-12,1137760.0,4042.0
552,Central Harlem North,2016-01,1056079.0,4162.0
553,Central Harlem North,2016-02,969841.0,4761.0
554,Central Harlem North,2016-03,1285237.0,5520.0
555,Central Harlem North,2016-04,1244406.0,5217.0
556,Central Harlem North,2016-05,1285287.0,5271.0
557,Central Harlem North,2016-06,1283827.0,5194.0
558,Central Harlem North,2016-07,1091504.0,4983.0
